Owner,AirdropAmount
3zHAWcpaFb182yrQ8brfgPZ2gJHR9NHodN5GqMkQYZ85,563075.00885286
6gK8gc9cbMyXgPkVBDECRNm24sPpDwK6nhWXViXTt5tS,75001.20837927
9KvyqmUVH4b2hpt8493aAQ6Cefgv649VivbxWxCSxhR,75001.20837927
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,57521.16478140
3KQSjspQbM41ngPwmGjuLyGfGLCyzaMMbspp398nKZDw,56612.75720679
4rkDe7zpw85XjdQf8AcPsLQyfkuaBCYtgFf4mWzEPbBM,39480.41145006
8QT9KnWqkzdCb6XJFHkpf2QvSvLUkoi8gXKhLgpUK7of,39000.59835675
owaiEcw2A92x6rhjoJ5i2kgxKsZE2LHkT4fjuL7ARH9,37875.33223173
32oe7fw2nnkU88muZX2MXYgQRg1KFVmud1YrMTcCnBMq,37564.53335787
Ghjxd4gUCGzcG3guJamyeT468BmDkZYk7prpyP227zY7,37360.87857531
EdGSc1sc5LxeBtHiKVqY1h8mWLuwKbGL6A5MCU5N2NAd,36848.10228771
8fJ8FZjKwyqtkWCQ8JsdMQkB8ETYF4e8TAzAZQVoXMKx,36385.63765326
J5vfBxWGq5u5oJbxcgxXbP31WvGi8GVpgKL7CV1ZDjrc,36000.55002156
3WEpNhQa5ZKWPcAfJwwoYcskZRyU39pAYcsieZvEt8VQ,35905.17115653
4hGY1Z8zddysU4n6ZYRArueJHJn2aP9U5tS8k8L7fyg3,35505.19492053
E1jtqCdEHQffq1CFY5Bgnjkao4vEdDh2Uup3RqCcCmmh,32522.05357464
F5BwXazdmZjM5wYFZEhf18P9zdg5ZVAyUwwCVrgwfhsd,30070.71034740
AmHXV2KtNqXcyedjpgUVjqzGoLTw9RC1HTbw6HSmiUoM,30000.48335172
4Z3CstAiv7Yg5jQkNTST8vg4dAwiA2241iqPsa9n2T6H,30000.48335172
6JmyvYoV1LTrDCuK1f6Bm6Wu8KrPp6mnL1oVTcFrn8ou,30000.48335172
BMLb9KDprPjwKyPLdQdAynJARnu74Zh4apoH7Ggrz6aW,30000.48335172
ExLUroEo3okiMbfvX6X4HaGjf1HEBAnQadcCU5gWV2X,30000.45335124
Cd1P2qjwiRnjQweUq5nMFGQCDCV646evibRsSB4HsWkM,29367.65615016
62AtSMTt6FnvGPuCkxecFrguVS2aX9vNPhSoWkZsHMDp,24542.42498247
9QjfTxDfABdXAxWEAk1FMoWaEksdTVGryJfSLbeNroYS,23509.73177619
9ufRZvWx2FynidF3XKRHShB1owe4CRJYiqiymSWTryui,22943.48042577
3TPNx6bzAiYGNy6CC2TJR92iU4aPvig79uocwsk4f73X,21999.99862353
Bu4VqJmUCXfnUXfjuSgHA1XBmVjwzE9thzYaMitmRpVu,21187.37738280
DCBzkdY6XtSMNgqeppLtKoAcTYTNKLf6FVtYy5LZvB2G,19779.53519133
2ufmjQpzwxV5jjLfgZBm3qCs1Nt16zSDKA19APLotqwR,18451.91825880
5GGGPLkANNgNASJMJYDu9Q4osnQknAD5kN6nEpjSYsW7,17168.75833416
dcmm7rJp6gCxkXJe4PVb3YNVjGicZfPBpWKkhBTbJtb,17020.84720407
BdKMgpNV62jTTch4Bvc63my9cqe4pHSgTe1x8mEfhWtb,16768.19783523
3aC93gGf6ZqwxiAtKZiJ61zmEoXeSA8gfW6fjRhk2ShY,16489.16585883
5VemEud9hTgVGUjA74deT63X1dssH7hNZy4wTdFmPvxv,15532.73235687
BLAQYaA7duCMQLvCv5gHVtCRbnMo8PW5FAns8s5xJsE2,15130.77605370
Aawh4VZRS5RWEXjQvJs7nhXuhG3QoMXy5WxSTfD3eoUx,15007.39839435
5zzABDCKZHeCoQDS2MYQvGugGE6r7GDgSUfhELyUPgNJ,15000.24167586
